agency_full,#_of_agencies,population,crime_type,YTD,PrevYTD,Percent_Change,YTD_Range,Last Updated
"Lincoln, Nebraska",1,293155,"Murders",5,6,-16.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Merced, California",1,94125,"Murders",5,7,-28.57%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"New Hanover County, North Carolina",1,105363,"Murders",5,5,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Oceanside, California",1,171348,"Murders",5,2,150.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Santa Maria, California",1,110317,"Murders",5,2,150.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Scottsdale, Arizona",1,243644,"Murders",5,1,400.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Sioux Falls, South Dakota",1,206559,"Murders",5,11,-54.55%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Spotsylvania County, Virginia",1,149957,"Murders",5,5,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Tempe, Arizona",1,188144,"Murders",5,4,25.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Visalia, California",1,145031,"Murders",5,7,-28.57%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Wake County, North Carolina",1,198748,"Murders",5,3,66.67%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Abilene, Texas",1,128387,"Murders",4,7,-42.86%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Beaufort County, South Carolina",1,132948,"Murders",4,10,-60.00%,"Jan - Aug 2025",2025-12-16 15:08:46 EST
"Billings, Montana",1,121365,"Murders",4,9,-55.56%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Buncombe County, North Carolina",1,158547,"Murders",4,2,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Carlsbad, California",1,113796,"Murders",4,1,300.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Cedar Rapids, Iowa",1,135777,"Murders",4,1,300.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Chandler, Arizona",1,282419,"Murders",4,2,100.00%,"Jan - Sep 2025",2025-12-16 15:08:46 EST
"Collin County, Texas",1,95286,"Murders",4,2,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Conway, Arkansas",1,69315,"Murders",4,2,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Davenport, Iowa",1,99911,"Murders",4,8,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Duluth, Minnesota",1,86570,"Murders",4,3,33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Fargo, North Dakota",1,134268,"Murders",4,5,-20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Forsyth County, North Carolina",1,111773,"Murders",4,5,-20.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Guilford County, North Carolina",1,130423,"Murders",4,6,-33.33%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Henderson, Nevada",1,337794,"Murders",4,8,-50.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Howard County, Maryland",1,337780,"Murders",4,6,-33.33%,"Jan - Jun 2025",2025-12-16 15:08:46 EST
"Janesville, Wisconsin",1,66033,"Murders",4,1,300.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Jefferson County, Missouri",1,167018,"Murders",4,4,0.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
"Kaufman County, Texas",1,111179,"Murders",4,2,100.00%,"Jan - Oct 2025",2025-12-16 15:08:46 EST
